time,alpha,beta
0.17121940569624206,0.01,0.42094641185662385
0.1712420837632217,0.01,0.4209717633527983
0.17126476183020134,0.01,0.42099713562929325
0.17128743989718098,0.01,0.42102252862125755
0.1713101179641606,0.01,0.42104794226373293
0.17133279603114024,0.01,0.4210733764916549
0.17135547409811988,0.01,0.42109883123985153
0.17137815216509952,0.01,0.4211243064430449
0.17140083023207914,0.01,0.42114980203585034
0.17142350829905878,0.01,0.42117531795277674
0.17144618636603842,0.01,0.42120085412822716
0.17146886443301804,0.01,0.42122641049649784
0.17149154249999768,0.01,0.4212519869917793
0.17151422056697732,0.01,0.42127758354815575
0.17153689863395696,0.01,0.4213032000996057
0.17155957670093658,0.01,0.4213288365800018
0.17158225476791622,0.01,0.42135449292311117
0.17160493283489586,0.01,0.4213801690625949
0.1716276109018755,0.01,0.4214058649320087
0.17165028896885512,0.01,0.42143158046480295
0.17167296703583476,0.01,0.421457315594323
0.1716956451028144,0.01,0.4214830702538084
0.17171832316979402,0.01,0.42150884437639363
0.17174100123677366,0.01,0.4215346378951087
0.1717636793037533,0.01,0.4215604507428782
0.17178635737073294,0.01,0.42158628285252187
0.17180903543771256,0.01,0.42161213415675536
0.1718317135046922,0.01,0.4216380045881888
0.17185439157167184,0.01,0.42166389407932836
0.1718770696386515,0.01,0.4216898025625758
0.1718997477056311,0.01,0.42171572997022855
0.17192242577261074,0.01,0.42174167623447945
0.17194510383959039,0.01,0.42176764128741784
0.17196778190657,0.01,0.4217936250610286
0.17199045997354964,0.01,0.42181962748719304
0.17201313804052928,0.01,0.4218456484976885
0.17203581610750893,0.01,0.42187168802418856
0.17205849417448854,0.01,0.4218977459982637
0.17208117224146818,0.01,0.4219238223513804
0.17210385030844783,0.01,0.4219499170149021
0.17212652837542747,0.01,0.42197602992008876
0.17214920644240708,0.01,0.4220021609980977
0.17217188450938672,0.01,0.4220283101799824
0.17219456257636637,0.01,0.42205447739669444
0.17221724064334598,0.01,0.4220806625790818
0.17223991871032562,0.01,0.4221068656578898
0.17226259677730527,0.01,0.422133086563762
