,time,alpha,beta
6609,0.1498702793741646,0.106,0.19430043338322583
6610,0.14989295606948524,0.106,0.19429658964286745
6611,0.1499156327648059,0.106,0.19429274533525503
6612,0.14993830946012654,0.106,0.19428890046164765
6613,0.1499609861554472,0.106,0.1942850550233033
6614,0.14998366285076783,0.106,0.19428120902147894
6615,0.1500063395460885,0.106,0.19427736245743044
6616,0.15002901624140916,0.106,0.19427351533241266
6617,0.1500516929367298,0.106,0.1942696676476794
6618,0.15007436963205045,0.106,0.1942658194044833
6619,0.1500970463273711,0.106,0.19426197060407607
6620,0.15011972302269175,0.106,0.19425812124770836
6621,0.15014239971801238,0.106,0.19425427133662965
6622,0.15016507641333304,0.106,0.1942504208720886
6623,0.15018775310865368,0.106,0.1942465698553325
6624,0.15021042980397434,0.106,0.19424271828760792
6625,0.15023310649929497,0.106,0.19423886617016012
6626,0.15025578319461563,0.106,0.1942350135042334
6627,0.15027845988993627,0.106,0.19423116029107107
6628,0.15030113658525693,0.106,0.19422730653191528
6629,0.15032381328057756,0.106,0.19422345222800713
6630,0.15034648997589822,0.106,0.1942195973805868
6631,0.15036916667121886,0.106,0.19421574199089336
6632,0.15039184336653952,0.106,0.19421188606016465
6633,0.15041452006186015,0.106,0.19420802958963773
6634,0.1504371967571808,0.106,0.19420417258054845
6635,0.15045987345250147,0.106,0.19420031503413165
6636,0.1504825501478221,0.106,0.19419645695162113
6637,0.15050522684314277,0.106,0.19419259833424957
6638,0.1505279035384634,0.106,0.1941887391832487
6639,0.15055058023378406,0.106,0.19418487949984908
6640,0.1505732569291047,0.106,0.1941810192852803
6641,0.15059593362442536,0.106,0.194177158540771
6642,0.150618610319746,0.106,0.1941732972675485
6643,0.15064128701506665,0.106,0.19416943546683935
6644,0.1506639637103873,0.106,0.19416557313986882
6645,0.15068664040570795,0.106,0.19416171028786133
6646,0.15070931710102858,0.106,0.19415784691204008
6647,0.15073199379634925,0.106,0.1941539830136273
6648,0.15075467049166988,0.106,0.19415011859384412
6649,0.15077734718699054,0.106,0.1941462536539108
6650,0.15080002388231117,0.106,0.19414238819504626
6651,0.15082270057763184,0.106,0.1941385222184686
6652,0.1508453772729525,0.106,0.19413465572539484
6653,0.15086805396827313,0.106,0.1941307887170407
6654,0.1508907306635938,0.106,0.19412692119462127
6655,0.15091340735891443,0.106,0.19412305315935025
6656,0.1509360840542351,0.106,0.1941191846124405
6657,0.15095876074955572,0.106,0.19411531555510358
6658,0.15098143744487638,0.106,0.19411144598855035
6659,0.15100411414019702,0.106,0.1941075759139903
6660,0.15102679083551768,0.106,0.1941037053326321
